"activity_reference_key","activity_search_autocomplete","override_industry_guidance_label","activity_key","4 - WIDESPREAD","3 - SUBSTANTIAL","2 - MODERATE","1 - MINIMAL","RSHO","last_modified","primary_guidance","secondary_guidance"
"drive-in-theaters","Drive-in theaters","","drive-in-theaters","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","movie-theaters","general-indoors, general-outdoors"
"dry-cleaners","Dry cleaners","","dry-cleaners","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"electricians","Electricians","","electricians","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"electrologists","Electrologists","Personal care services","electrologists","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed except for physician-ordered electrology services","2021-03-02T02:03:00.000Z","expanded-personal-care-services","general-indoors, general-outdoors"
"energy","Energy and utilities","","energy","","","","","","2021-03-02T00:55:00.000Z","energy","general-indoors, general-outdoors"
"estheticians","Estheticians","Personal care services","estheticians","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","expanded-personal-care-services","general-indoors, general-outdoors"
"family-entertainment","Family entertainment centers","","family-entertainment","Can open outdoors only with modifications<br>– Kart racing <br>– Mini-golf <br>– Batting cages","Can open outdoors only with modifications<br>– Kart racing<br>– Mini-golf<br>– Batting cages","Can open indoors for naturally distanced activities, with modifications<br>– Max 25% capacity <br>– Bowling alleys<br>– Escape rooms","Can open indoors for activities with increased risk of proximity and mixing, with modifications<br>– Max 50% capacity <br>– Arcade games <br>– Ice and roller skating<br>– Indoor playgrounds","Closed","2021-03-02T02:03:00.000Z","family-entertainment","general-indoors, general-outdoors"
"farmers-markets","Farmers markets","Retailers","farmers-markets","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"festivals","Festivals","","festivals","Closed","Closed","Closed","Closed","Closed","2021-03-02T02:03:00.000Z","festivals","general-indoors, general-outdoors"
"film-tv","Film and TV production","","film-tv","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","music-tv-film","general-indoors, general-outdoors"
"fire-stations","Fire stations","Critical infrastructure","fire-stations","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","critical-infrastructure","general-indoors, general-outdoors"
"fitness","Fitness","Gyms and fitness centers","fitness","","","","","","2021-03-02T00:55:00.000Z","fitness","general-indoors, general-outdoors"
"florists","Florists","","florists","Can open with modifications<br>– Max 25% capacity","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 20% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"food-banks","Food banks","","food-banks","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","food-banks","general-indoors, general-outdoors"
"food-packing","Food packing","","food-packing","","","","","","2021-03-02T00:55:00.000Z","food-packing","general-indoors, general-outdoors"
"gas-stations","Gas stations","","gas-stations","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"government-services","Government services","","government-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","government-services","general-indoors, general-outdoors"
"grocery-stores","Grocery stores","","grocery-stores","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 35% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"gyms-fitness-centers","Gyms and fitness centers","","gyms-fitness-centers","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 10% capacity<br>– +Climbing walls","Can open indoors with modifications<br>– Max 25% capacity<br>– +Indoor pools","Can open indoors with modifications<br>– +Saunas<br>– +Spas<br>– +Steam rooms<br>– Max 50% capacity","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","fitness","general-indoors, general-outdoors"
"hair-salons","Hair salons and barbershops","","hair-salons","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","hair-salons","general-indoors, general-outdoors"
"handy-persons-general-contractors","Handypersons/general contractors","","handy-persons-general-contractors","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"higher-education","Higher education institutions","","higher-education","Closed for indoor lectures and student gatherings. Some courses conducted in certain indoor settings, like labs and studio arts, may be open.","Capacity for indoor lectures and student gatherings must be limited to 25% or 100 people, whichever is less. Some courses conducted in certain indoor settings, like labs and studio arts, may be open at regular capacity. Conduct student activities virtually when possible.","Capacity for indoor lectures and student gatherings must be limited to 50% or 200 people, whichever is less. Some courses conducted in certain indoor settings, like labs and studio arts, may be open at regular capacity. Conduct student activities virtually when possible.","Capacity for indoor lectures and student gatherings must be limited to 50%. Some courses conducted in certain indoor settings, like labs and studio arts, may be open at regular capacity. Conduct student activities virtually when possible."," ","2021-03-02T02:03:00.000Z","higher-education","general-indoors, general-outdoors"
"home-furnishings","Home and furnishing stores","","home-furnishings","Can open with modifications<br>– Max 25% capacity","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 20% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"hospitals-urgent-care","Hospitals and urgent cares","Critical infrastructure","hospitals-urgent-care","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T00:55:00.000Z","critical-infrastructure","general-indoors, general-outdoors"
"hotels-lodging-rentals","Hotels, lodging, and short-term lodging rentals","","hotels-lodging-rentals","","","","","","2021-03-02T02:18:00.000Z","hotels-lodging-rentals","general-indoors, general-outdoors"
"hvac-services","HVAC services","","hvac-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"indoor-playgrounds","Indoor playgrounds (bounce centers/ball pits/laser tag)","","indoor-playgrounds","Closed","Closed","Can open indoors for naturally distanced activities, with modifications<br>– Max 25% capacity<br>– Bowling alleys<br>– Climbing walls","Can open indoors for activities with increased risk of proximity and mixing, with modifications<br>– Max 50% capacity<br>– Arcade games<br>– Ice and roller skating","Closed","2021-03-02T02:03:00.000Z","family-entertainment","general-indoors, general-outdoors"
"jewelry-stores","Jewelry stores","","jewelry-stores","Can open with modifications<br>– Max 25% capacity","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 20% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"landscapers","Landscapers","","landscapers","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"laundromats-laundry-services","Laundromats and laundry services","","laundromats-laundry-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"libraries","Libraries","","libraries","Can open with modifications<br>– Max 25% capacity","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 20% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail, libraries","general-indoors, general-outdoors"
"life-sciences","Life sciences","","life-sciences","","","","","","2021-03-02T00:55:00.000Z","life-sciences","general-indoors, general-outdoors"
"limited-services","Residential and janitorial cleaning services","Residential and janitorial cleaning services","limited-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"live-theater","Live theater","","live-theater","Closed","Closed","Closed","Closed","Closed","2021-03-02T02:03:00.000Z","live-performances","general-indoors, general-outdoors"
"logistics-warehousing","Logistics and warehousing facilities","","logistics-warehousing","","","","","","2021-03-02T00:55:00.000Z","logistics-warehousing","general-indoors, general-outdoors"
"manufacturing","Manufacturing","","manufacturing","","","","","","2021-03-02T00:55:00.000Z","manufacturing","general-indoors, general-outdoors"
"massage-therapy","Massage therapy studios","Personal care services","massage-therapy","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","expanded-personal-care-services","general-indoors, general-outdoors"
"mining-logging","Mining and logging","","mining-logging","","","","","","2021-03-02T00:55:00.000Z","mining-logging","general-indoors, general-outdoors"
"mosques","Mosques","","mosques","Can open indoors with modifications<br>– Indoor activities strongly discouraged<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","places-of-worship","general-indoors, general-outdoors"
"movie-theaters","Movie theaters","","movie-theaters","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications<br>– Max 50% capacity or 200 people, whichever is fewer","Can open indoors with modifications<br>– Max 50% capacity","Closed","2021-03-02T02:03:00.000Z","movie-theaters","general-indoors, general-outdoors"
"museums","Museums","","museums","Can open outdoors only with modifications","Can open indoors with modifications – Indoor activities max 25% capacity","Can open indoors with modifications<br>– Indoor activities max 50% capacity","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","zoos-museums","general-indoors, general-outdoors"
"music-production","Music production","","music-production","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","music-tv-film","general-indoors, general-outdoors"
"music-tv-film","Music, film, and TV production","","music-tv-film","","","","","","2021-03-02T00:55:00.000Z","music-tv-film","general-indoors, general-outdoors"
"nail-salons","Nail salons","Personal care services","nail-salons","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","expanded-personal-care-services","general-indoors, general-outdoors"
"nightclubs","Nightclubs","Convention centers and professional hosted events","nightclubs","Closed","Closed","Closed","Closed","Closed","2021-03-02T02:03:00.000Z","convention-centers","general-indoors, general-outdoors"
"office-workspaces","Office workspaces","Office workspaces","office-workspaces","","","","","","2021-03-02T00:55:00.000Z","office-workspaces","general-indoors, general-outdoors"
"offices-non-essential-businesses","Offices (non-essential businesses)","Office workspaces","offices-non-essential-businesses","Can work remotely","Can work remotely","Can open indoors with modifications<br>– Encourage working remotely","Can open indoors with modifications<br>– Encourage working remotely","Can work remotely","2021-03-02T02:03:00.000Z","office-workspaces","general-indoors, general-outdoors"
"outdoor-cardrooms","Outdoor cardrooms and satellite wagering","Cardrooms and racetracks","outdoor-cardrooms","","","","","","2021-03-02T00:55:00.000Z","cardrooms-racetracks, outdoor-cardrooms","general-indoors, general-outdoors"
"outdoor-live-professional-sports","Racetracks","Professional sports","outdoor-live-professional-sports","Can open with modifications<br>– No live audiences","Can open with modifications<br>– No live audiences","Can open with modifications<br>– Permanent venues with live audiences outdoors only<br>– Max 20% capacity<br>– Regional attendees only (within 120 miles)<br>– Reservations required<br>– Assigned seating only<br>– In-seat concessions only (no concourse sales)","Can open with modifications<br>– Permanent venues with live audiences outdoors only<br>– Max 25% capacity<br>– Regional attendees only (within 120 miles)<br>– Reservations required<br>– Assigned seating only<br>– In-seat concessions only (no concourse sales)","Can open with modifications<br>– No live audience","2021-03-02T02:03:00.000Z","outdoor-live-professional-sports, cardrooms-racetracks","general-indoors, general-outdoors"
"outdoor-live-professional-sports","Outdoor live professional sports","Outdoor live professional sports","outdoor-live-professional-sports","","","","","","2021-03-02T02:19:00.000Z","outdoor-live-professional-sports","general-indoors, general-outdoors"
"outdoor-playgrounds","Outdoor playgrounds","Outdoor recreation, including campgrounds, playgrounds, and ski resorts","outdoor-playgrounds","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","campgrounds-outdoor-recreation","general-indoors, general-outdoors"
"outdoor-recreation","Outdoor recreation","Outdoor recreation","outdoor-recreation","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications <br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","campgrounds-outdoor-recreation","general-indoors, general-outdoors"
"pet-groomers","Pet groomers","Limited services","pet-groomers","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"pharmacies","Pharmacies","Retail","pharmacies","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"piercing-shops","Piercing shops","Personal care services","piercing-shops","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","expanded-personal-care-services","general-indoors, general-outdoors"
"places-of-worship","Places of worship","Places of worship and cultural ceremonies","places-of-worship","Can open indoors with modifications<br>– Indoor activities strongly discouraged<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","places-of-worship","general-indoors, general-outdoors"
"plumbing-services","Plumbing services","Limited services","plumbing-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"police-stations","Police stations","Police stations","police-stations","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","critical-infrastructure","general-indoors, general-outdoors"
"ports","Ports","","ports","","","","","","2021-03-02T00:55:00.000Z","ports","general-indoors, general-outdoors"
"professional-sports","Professional sports","","professional-sports","Can open with modifications<br>– No live audiences","Can open with modifications<br>– No live audiences","Can open with modifications<br>– Permanent venues with live audiences outdoors only<br>– Max 20% capacity<br>– Regional attendees only (within 120 miles)<br>– Reservations required<br>– Assigned seating only<br>– In-seat concessions only (no concourse sales)","Can open with modifications<br>– Permanent venues with live audiences outdoors only<br>– Max 25% capacity<br>– Regional attendees only (within 120 miles)<br>– Reservations required<br>– Assigned seating only<br>– In-seat concessions only (no concourse sales)","Can open with modifications<br>– No live audience","2021-03-02T02:03:00.000Z","professional-sports, outdoor-live-professional-sports","general-indoors, general-outdoors"
"real-estate","Real estate transactions","","real-estate","","","","","","2021-03-02T00:55:00.000Z","real-estate","general-indoors, general-outdoors"
"restaurants-bars-wineries","Restaurants, wineries, and bars","Restaurants","restaurants-bars-wineries","","","","","","2021-03-02T00:55:00.000Z","restaurants-bars-wineries, bars, wineries","general-indoors, general-outdoors"
"retail","Retail","","retail","Can open with modifications<br>– Max 25% capacity","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","","2021-03-02T02:27:00.000Z","retail","general-indoors, general-outdoors"
"saunas-steam-rooms","Saunas and steam rooms","Gyms and fitness, Hotels, lodging, and short-term lodging rentals, and Outdoor recreation, including campgrounds, playgrounds, and ski resorts","saunas-steam-rooms","Closed","Closed","Closed","Can open indoors with modifications<br>– +Saunas<br>– +Spas<br>– +Steam rooms<br>– Max 50% capacity","Closed","2021-03-02T02:03:00.000Z","fitness, hotels-lodging-rentals, campgrounds-outdoor-recreation","general-indoors, general-outdoors"
"schools","Schools","","schools","K-12th grade schools can reopen for in-person instruction in accordance with the <a href=""https://schools.covid19.ca.gov/"">K-12 School Guidance</a>. K-6th grade schools may open once their county has a case rate of less than 25 cases per 100,00 (adjusted) and if schools have followed the other processes for school re-opening outlined in the guidance. Middle and high schools can open once the county is in the Substantial (red) tier and have also followed the school re-opening guidance. ","Schools may reopen fully for in-person instruction. Local school officials will decide whether and when that will occur.","Schools may reopen fully for in-person instruction. Local school officials will decide whether and when that will occur.","Schools may reopen fully for in-person instruction. Local school officials will decide whether and when that will occur.","–","2021-03-02T02:03:00.000Z","schools, cohorts, youth-sports","general-indoors, general-outdoors"
"shopping-centers","Shopping centers","","shopping-centers","Can open indoors with modifications - Max 25% capacity - Closed common areas - Closed food courts","Can open indoors with modifications - Max 50% capacity - Closed common areas - Reduced capacity food courts (see Restaurants)","Can open indoors with modifications - Closed common areas - Reduced capacity food courts (see Restaurants)","Can open with modifications - Reduced capacity food courts (see Restaurants)","Can open indoors with modifications - Max 20% capacity - Closed common areas - Closed food courts","2021-03-02T00:55:00.000Z","shopping-centers","general-indoors, general-outdoors"
"shopping-malls","Shopping malls","","shopping-malls","Can open indoors with modifications – Max 25% capacity <br>– Closed common areas <br>– Closed food courts","Can open indoors with modifications<br>– Max 50% capacity <br>– Closed common areas <br>– Reduced capacity food courts (see Restaurants)","Can open indoors with modifications<br>– Closed common areas <br>– Reduced capacity food courts (see Restaurants)","Can open with modifications<br>– Reduced capacity food courts (see Restaurants)","Can open indoors with modifications<br>– Max 20% capacity<br>– Closed common areas<br>– Closed food courts","2021-03-02T02:03:00.000Z","shopping-centers","general-indoors, general-outdoors"
"short-term-lodging-rentals","Short-term lodging rentals","Hotels, lodging, and short-term lodging rentals","short-term-lodging-rentals","Can open with modifications","Can open with modifications<br>– +Fitness centers (+10%)","Can open with modifications<br>– +Fitness centers (+25%)<br>– +Indoor pools","Can open with modifications<br>– +Fitness centers (50%)<br>– +Spa facilities, etc.","Closed for in-state reservations unless used for COVID-19 mitigation and containment measures, treatment measures, accommodation for essential workers or those displaced as a result of fire or other emergency, or housing solutions, including measures to protect homeless populations. Open for non-essential, out-of-state reservations so long as reservation is at least the minimum time period required for quarantine.","2021-03-02T02:03:00.000Z","hotels-lodging-rentals","general-indoors, general-outdoors"
"skateparks","Skateparks","Outdoor recreation, including campgrounds, playgrounds and ski resorts","skateparks","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","campgrounds-outdoor-recreation","general-indoors, general-outdoors"
"skin-care-services","Skin care services","Personal care services","skin-care-services","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","expanded-personal-care-services","general-indoors, general-outdoors"
