"activity_reference_key","activity_search_autocomplete","override_industry_guidance_label","activity_key","4 - WIDESPREAD","3 - SUBSTANTIAL","2 - MODERATE","1 - MINIMAL","RSHO","last_modified","primary_guidance","secondary_guidance","related_guidance","language_code","language"
"cardrooms-racetracks","위성 경마장","","cardrooms-racetracks","변경 조치 이행 후 실내 운영 개시 가능<br>– 최대 수용 가능 인원의 50% 이내","변경 조치 이행 후 실외에 한해 운영 개시 가능","변경 조치 이행 후 실내 운영 개시 가능<br>– 최대 수용 가능 인원의 25% 이내","변경 조치 이행 후 실외에 한해 운영 개시 가능","","2021-02-20T03:19:00.000Z","cardrooms-racetracks","","","ko","Korean"
"cardrooms-racetracks","카드놀이방","","cardrooms-racetracks","변경 조치 이행 후 실내 운영 개시 가능<br>– 최대 수용 가능 인원의 50% 이내","변경 조치 이행 후 실외에 한해 운영 개시 가능","변경 조치 이행 후 실내 운영 개시 가능<br>– 최대 수용 가능 인원의 25% 이내","변경 조치 이행 후 실외에 한해 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"cardrooms-racetracks","Mga lugar para sa satellite wagering","","cardrooms-racetracks","Puwedeng magbukas indoors nang may mga modipikasyon<br>– 50% ang maximum na kapasidad","Puwedeng magbukas nang outdoors lang nang may mga modipikasyon","Puwedeng magbukas indoors nang may mga modipikasyon<br>– 25% ang maximum na kapasidad","Puwedeng magbukas nang outdoors lang nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"cardrooms-racetracks","Mga cardroom","","cardrooms-racetracks","Puwedeng magbukas indoors nang may mga modipikasyon<br>– 50% ang maximum na kapasidad","Puwedeng magbukas nang outdoors lang nang may mga modipikasyon","Puwedeng magbukas indoors nang may mga modipikasyon<br>– 25% ang maximum na kapasidad","Puwedeng magbukas nang outdoors lang nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","cardrooms-racetracks, outdoor-cardrooms","","","tl","Tagalog"
"cardrooms-racetracks","Sòng bài","","cardrooms-racetracks","Có thể mở cửa trong nhà với điều chỉnh sửa đổi<br>– Tối đa 50% sức chứa","Chỉ có thể mở cửa ngoài trời với điều chỉnh sửa đổi","Có thể mở cửa trong nhà với điều chỉnh sửa đổi<br>– Tối đa 25% sức chứa","Chỉ có thể mở cửa ngoài trời với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"cardrooms-racetracks","Địa điểm cá cược","","cardrooms-racetracks","Có thể mở cửa trong nhà với điều chỉnh sửa đổi<br>– Tối đa 50% sức chứa","Chỉ có thể mở cửa ngoài trời với điều chỉnh sửa đổi","Có thể mở cửa trong nhà với điều chỉnh sửa đổi<br>– Tối đa 25% sức chứa","Chỉ có thể mở cửa ngoài trời với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"cardrooms-racetracks","场外投注点","","cardrooms-racetracks","在有调整方案的情况下可以开放室内营业，<br>最多50%的容纳量","仅可在有调整方案的情况下开放户外营业","在有调整方案的情况下可以开放室内营业，<br>最多25%的容纳量","仅可在有调整方案的情况下开放户外营业","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"cardrooms-racetracks","棋牌室","","cardrooms-racetracks","在有调整方案的情况下可以开放室内营业，<br>最多50%的容纳量","仅可在有调整方案的情况下开放户外营业","在有调整方案的情况下可以开放室内营业，<br>最多25%的容纳量","仅可在有调整方案的情况下开放户外营业","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"cardrooms-racetracks","棋牌室","","cardrooms-racetracks","在有调整方案的情况下可以开放室内营业，<br>最多50%的容纳量","仅可在有调整方案的情况下开放户外营业","在有调整方案的情况下可以开放室内营业，<br>最多25%的容纳量","仅可在有调整方案的情况下开放户外营业","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"cardrooms-racetracks","场外投注点","","cardrooms-racetracks","在有调整方案的情况下可以开放室内营业，<br>最多50%的容纳量","仅可在有调整方案的情况下开放户外营业","在有调整方案的情况下可以开放室内营业，<br>最多25%的容纳量","仅可在有调整方案的情况下开放户外营业","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"childcare-guidance","رعاية الأطفال","","childcare-guidance","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"childcare-guidance","Cuidado infantil","","childcare-guidance","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"childcare-guidance","보육 시설","","childcare-guidance","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"childcare-guidance","Childcare","","childcare-guidance","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"childcare-guidance","Chăm sóc trẻ em","","childcare-guidance","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"childcare-guidance","托儿服务","","childcare-guidance","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"childcare-guidance","托儿服务","","childcare-guidance","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"concert-venues","Salas de conciertos","","concert-venues","Cerrado","Cerrado","Cerrado","Cerrado","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"concert-venues","콘서트장","","concert-venues","폐쇄","폐쇄","폐쇄","폐쇄","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"concert-venues","Mga pinagdarausan ng concert","","concert-venues","Sarado","Sarado","Sarado","Sarado","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"concert-venues","Địa điểm tổ chức chương trình hòa nhạc","","concert-venues","Đóng cửa","Đóng cửa","Đóng cửa","Đóng cửa","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"concert-venues","音乐会现场","","concert-venues","关闭","关闭","关闭","关闭","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"concert-venues","音乐会现场","","concert-venues","关闭","关闭","关闭","关闭","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"conference-centers","مراكز المؤتمرات","","conference-centers","مغلقة","مغلقة","مغلقة","مغلقة","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"conference-centers","컨벤션 센터","","conference-centers","폐쇄","폐쇄","폐쇄","폐쇄","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"conference-centers","Các trung tâm hội nghị","","conference-centers","Đóng cửa","Đóng cửa","Đóng cửa","Đóng cửa","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"conference-centers","会议中心","","conference-centers","关闭","关闭","关闭","关闭","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"conference-centers","会议中心","","conference-centers","关闭","关闭","关闭","关闭","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"construction","البناء","","construction","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الفتح مع إجراء تعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"construction","Construcción","","construction","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"construction","건축업","","construction","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"construction","Konstruksyon","","construction","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"construction","Xây dựng","","construction","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"construction","建筑业","","construction","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"construction","建筑业","","construction","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"convention-centers","Centros de convenciones","","convention-centers","Cerrado","Cerrado","Cerrado","Cerrado","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"convention-centers","Mga convention center","","convention-centers","Sarado","Sarado","Sarado","Sarado","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"daycamps-guidance","المخيمات النهارية","","daycamps-guidance","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"daycamps-guidance","Campamentos de día","","daycamps-guidance","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"daycamps-guidance","일일 어린이 캠프","","daycamps-guidance","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"daycamps-guidance","Mga day camp","","daycamps-guidance","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"daycamps-guidance","Khu cắm trại ban ngày","","daycamps-guidance","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"daycamps-guidance","日间营地","","daycamps-guidance","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"daycamps-guidance","日间营地","","daycamps-guidance","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"doctors-dentists","الأطباء البشريين وأطباء الأسنان","","doctors-dentists","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"doctors-dentists","Doctores y dentistas","","doctors-dentists","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"doctors-dentists","의사 및 치과 의사","","doctors-dentists","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"doctors-dentists","Mga doktor at dentista","","doctors-dentists","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"doctors-dentists","Bác sĩ và nha sĩ","","doctors-dentists","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"doctors-dentists","医生和牙医","","doctors-dentists","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"doctors-dentists","医生和牙医","","doctors-dentists","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"door-to-door-sales","Bán hàng và dịch vụ tận nơi","","door-to-door-sales","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"door-to-door-sales-services","Ventas y servicios puerta a puerta","","door-to-door-sales-services","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"door-to-door-sales-services","방문 판매 및 서비스업","","door-to-door-sales-services","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"door-to-door-sales-services","Door-to-door na pagbebenta at serbisyo","","door-to-door-sales-services","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"door-to-door-sales-services","上门推销和服务","","door-to-door-sales-services","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"door-to-door-sales-services","上门推销和服务","","door-to-door-sales-services","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"feasts","Mga pista","","feasts","Sarado","Sarado","Sarado","Sarado","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"festivals","المهرجانات","","festivals","مغلقة","مغلقة","مغلقة","مغلقة","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"festivals","Festivales","","festivals","Cerrado","Cerrado","Cerrado","Cerrado","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"festivals","페스티벌","","festivals","폐쇄","폐쇄","폐쇄","폐쇄","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"festivals","Lễ hội","","festivals","Đóng cửa","Đóng cửa","Đóng cửa","Đóng cửa","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"festivals","节庆","","festivals","关闭","关闭","关闭","关闭","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"festivals","节庆","","festivals","关闭","关闭","关闭","关闭","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"fire-stations","محطات إطفاء الحرائق","","fire-stations","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"fire-stations","Estaciones de bomberos","","fire-stations","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"fire-stations","소방서","","fire-stations","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"fire-stations","Mga bumbero","","fire-stations","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
